B,P,C,X,N,Time
5,1,1,0,1,10.257946
5,1,5,0,1,10.263036
5,5,1,0,1,2.075174
5,5,5,0,1,2.077607
10,1,1,0,1,10.277121
10,1,5,0,1,10.281758
10,1,10,0,1,10.272081
10,5,1,0,1,2.077279
10,5,5,0,1,2.077303
10,5,10,0,1,2.071225
10,10,1,0,1,1.060283
10,10,5,0,1,1.057285
10,10,10,0,1,1.060201
5,1,1,200,1,10.466840
5,1,5,200,1,10.461199
5,5,1,200,1,10.255289
5,5,5,200,1,2.281055
10,1,1,200,1,10.471356
10,1,5,200,1,10.482199
10,1,10,200,1,10.462456
10,5,1,200,1,10.241675
10,5,5,200,1,2.278948
10,5,10,200,1,2.274587
10,10,1,200,1,10.242419
10,10,5,200,1,2.235491
10,10,10,200,1,1.261832
5,1,1,400,1,20.240729
5,1,5,400,1,10.626692
5,5,1,400,1,20.242312
5,5,5,400,1,4.235345
10,1,1,400,1,20.243541
10,1,5,400,1,10.621188
10,1,10,400,1,10.654315
10,5,1,400,1,20.258414
10,5,5,400,1,4.239685
10,5,10,400,1,2.477497
10,10,1,400,1,20.256850
10,10,5,400,1,4.239053
10,10,10,400,1,2.240563
