B,P,C,X,N,Time
5,1,1,0,1,0.009268
5,1,5,0,1,0.007869
5,5,1,0,1,0.002513
5,5,5,0,1,0.004034
10,1,1,0,1,0.005953
10,1,5,0,1,0.012118
10,1,10,0,1,0.005337
10,5,1,0,1,0.008429
10,5,5,0,1,0.004312
10,5,10,0,1,0.003481
10,10,1,0,1,0.005238
10,10,5,0,1,0.004002
10,10,10,0,1,0.003238
5,1,1,200,1,0.004214
5,1,5,200,1,0.010465
5,5,1,200,1,0.007611
5,5,5,200,1,0.008564
10,1,1,200,1,0.009612
10,1,5,200,1,0.007982
10,1,10,200,1,0.010469
10,5,1,200,1,0.001879
10,5,5,200,1,0.008335
10,5,10,200,1,0.006924
10,10,1,200,1,0.002835
10,10,5,200,1,0.001695
10,10,10,200,1,0.004936
5,1,1,400,1,0.002751
5,1,5,400,1,0.020768
5,5,1,400,1,0.003116
5,5,5,400,1,0.001218
10,1,1,400,1,0.005600
10,1,5,400,1,0.013543
10,1,10,400,1,0.024631
10,5,1,400,1,0.003156
10,5,5,400,1,0.002052
10,5,10,400,1,0.003624
10,10,1,400,1,0.002290
10,10,5,400,1,0.002845
10,10,10,400,1,0.004434
